                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.75188,                0.57169,                 1.2611,                0.97374,                0.96059,                0.99019,                0.85551,                0.65466,                0.37942,                  1.156,             0.00043842,             0.00043842,             0.00043842
                     70,                0.74297,                0.57328,                 1.2554,                0.98137,                0.96574,                0.99171,                0.84906,                 0.6465,                0.37475,                 1.1444,             0.00042008,             0.00042008,             0.00042008
                     71,                 0.7433,                0.56695,                 1.2489,                0.98283,                0.97263,                0.99206,                0.85504,                0.64506,                0.36133,                 1.1487,             0.00040175,             0.00040175,             0.00040175
                     72,                0.72253,                0.55732,                 1.2381,                0.98148,                0.95963,                0.99221,                0.85632,                0.64231,                0.36851,                  1.149,             0.00038341,             0.00038341,             0.00038341
                     73,                0.72086,                0.55698,                 1.2335,                 0.9899,                0.96052,                0.99197,                0.85427,                0.65288,                0.37066,                  1.148,             0.00036507,             0.00036507,             0.00036507
                     74,                0.71759,                  0.557,                 1.2323,                0.97609,                0.97239,                0.99228,                 0.8527,                0.63566,                0.36328,                 1.1376,             0.00034674,             0.00034674,             0.00034674
                     75,                0.71853,                0.54762,                 1.2317,                0.97778,                0.96749,                 0.9916,                0.86234,                0.63006,                0.35959,                 1.1264,              0.0003284,              0.0003284,              0.0003284
                     76,                0.71576,                  0.552,                 1.2335,                0.98459,                0.96682,                0.99204,                0.86039,                0.63541,                0.35404,                 1.1325,             0.00031006,             0.00031006,             0.00031006
                     77,                0.71247,                0.55642,                 1.2304,                0.97838,                0.97517,                0.99131,                0.86287,                0.63219,                0.35304,                 1.1262,             0.00029172,             0.00029172,             0.00029172
                     78,                0.71104,                0.54085,                 1.2283,                0.98387,                0.96646,                0.98927,                0.86299,                0.62238,                0.36186,                 1.1215,             0.00027339,             0.00027339,             0.00027339
                     79,                0.69537,                0.53743,                  1.217,                0.97862,                0.97433,                0.99098,                0.86207,                0.62769,                0.34961,                 1.1305,             0.00025505,             0.00025505,             0.00025505
                     80,                0.70455,                0.53768,                 1.2168,                0.98483,                0.97372,                0.99153,                 0.8624,                0.63138,                0.34712,                 1.1348,             0.00023671,             0.00023671,             0.00023671
                     81,                0.54305,                0.33485,                 1.0559,                0.98444,                0.97372,                0.99145,                0.86089,                0.63396,                0.35681,                 1.1365,             0.00021838,             0.00021838,             0.00021838
                     82,                0.54229,                0.32799,                 1.0506,                0.98104,                0.96988,                0.99213,                0.86699,                0.62687,                0.36741,                 1.1248,             0.00020004,             0.00020004,             0.00020004
                     83,                0.52205,                0.31933,                 1.0394,                0.98196,                0.97167,                0.99218,                0.86875,                0.62873,                0.35288,                 1.1267,              0.0001817,              0.0001817,              0.0001817
                     84,                0.52008,                0.31682,                 1.0368,                0.98073,                0.96891,                0.99144,                0.86573,                 0.6332,                0.35498,                 1.1337,             0.00016337,             0.00016337,             0.00016337
                     85,                0.51896,                0.31026,                  1.035,                0.98157,                0.97807,                0.99156,                0.86657,                0.62878,                0.35184,                  1.124,             0.00014503,             0.00014503,             0.00014503
                     86,                0.51059,                0.30971,                 1.0294,                0.98359,                0.97285,                0.99257,                 0.8676,                0.62876,                0.34925,                 1.1271,             0.00012669,             0.00012669,             0.00012669
                     87,                0.49796,                0.29622,                 1.0177,                0.97788,                0.97585,                 0.9922,                0.87255,                 0.6242,                0.35296,                 1.1234,             0.00010836,             0.00010836,             0.00010836
                     88,                0.49957,                0.30134,                 1.0216,                0.98327,                0.97481,                0.99232,                0.87402,                0.62423,                0.34404,                 1.1281,             9.0018e-05,             9.0018e-05,             9.0018e-05
                     89,                0.49273,                0.29428,                 1.0155,                0.98371,                0.97495,                 0.9924,                0.87229,                0.62432,                0.34482,                 1.1283,             7.1681e-05,             7.1681e-05,             7.1681e-05
                     90,                0.49045,                0.29592,                 1.0142,                 0.9858,                0.97849,                0.99293,                0.87207,                 0.6212,                0.33635,                  1.126,             5.3344e-05,             5.3344e-05,             5.3344e-05
